SUBDIVISION,YEAR,MONTH,AVG_RAIN
ANDAMAN & NICOBAR ISLANDS,1951,JAN,82.7
ANDAMAN & NICOBAR ISLANDS,1952,JAN,0
ANDAMAN & NICOBAR ISLANDS,1953,JAN,56
ANDAMAN & NICOBAR ISLANDS,1954,JAN,83.8
ANDAMAN & NICOBAR ISLANDS,1955,JAN,57.3
ANDAMAN & NICOBAR ISLANDS,1956,JAN,49.2
ANDAMAN & NICOBAR ISLANDS,1957,JAN,28
ANDAMAN & NICOBAR ISLANDS,1958,JAN,22.9
ANDAMAN & NICOBAR ISLANDS,1959,JAN,10.1
ANDAMAN & NICOBAR ISLANDS,1960,JAN,104.2
ANDAMAN & NICOBAR ISLANDS,1961,JAN,82.1
ANDAMAN & NICOBAR ISLANDS,1962,JAN,152.4
ANDAMAN & NICOBAR ISLANDS,1963,JAN,79.9
ANDAMAN & NICOBAR ISLANDS,1964,JAN,65.5
ANDAMAN & NICOBAR ISLANDS,1965,JAN,11.8
ANDAMAN & NICOBAR ISLANDS,1966,JAN,79.8
ANDAMAN & NICOBAR ISLANDS,1967,JAN,164.6
ANDAMAN & NICOBAR ISLANDS,1968,JAN,22.1
ANDAMAN & NICOBAR ISLANDS,1969,JAN,106.3
ANDAMAN & NICOBAR ISLANDS,1970,JAN,72.2
ANDAMAN & NICOBAR ISLANDS,1971,JAN,41.5
ANDAMAN & NICOBAR ISLANDS,1972,JAN,13.7
ANDAMAN & NICOBAR ISLANDS,1973,JAN,18.1
ANDAMAN & NICOBAR ISLANDS,1974,JAN,22.2
ANDAMAN & NICOBAR ISLANDS,1975,JAN,276.9
ANDAMAN & NICOBAR ISLANDS,1976,JAN,20.9
ANDAMAN & NICOBAR ISLANDS,1977,JAN,79.7
ANDAMAN & NICOBAR ISLANDS,1978,JAN,109.6
ANDAMAN & NICOBAR ISLANDS,1979,JAN,35.5
ANDAMAN & NICOBAR ISLANDS,1980,JAN,5.5
ANDAMAN & NICOBAR ISLANDS,1981,JAN,11.1
ANDAMAN & NICOBAR ISLANDS,1982,JAN,8.8
